graph,nodes,edges,method,variant,batch,modularity,communities,passes,affected,time_s
sx-mathover,24759,150388,df,DF,2,0.312196,3499,,3003,0.013
sx-mathover,24759,150388,df,DS,2,0.326007,3500,,21220,0.021
sx-mathover,24759,150388,df,ND,3,0.3282,2324,,,0.016
sx-mathover,24759,150388,df,DF,3,0.315925,2324,,3119,0.013
sx-mathover,24759,150388,df,DS,3,0.326999,2411,,22400,0.01
sx-mathover,24759,150388,df,ND,4,0.329533,1313,,,0.01
sx-mathover,24759,150388,df,DF,4,0.317816,1316,,3020,0.01
sx-mathover,24759,150388,df,DS,4,0.328633,1373,,23461,0.011
sx-mathover,24759,150388,df,ND,5,0.331996,175,,,0.014
sx-mathover,24759,150388,df,DF,5,0.320213,209,,3109,0.01
sx-mathover,24759,150388,df,DS,5,0.330987,240,,24586,0.012
sx-mathover,24759,150388,networkx,rerun,0,0.307303,5783,,,7.3366
sx-mathover,24759,150388,networkx,rerun,1,0.311524,4634,,,6.765
sx-mathover,24759,150388,networkx,rerun,2,0.298593,3521,,,6.562
sx-mathover,24759,150388,networkx,rerun,3,0.304751,2328,,,4.9871
sx-mathover,24759,150388,networkx,rerun,4,0.315094,1234,,,5.7506
sx-mathover,24759,150388,networkx,rerun,5,0.309705,81,,,5.7269
sx-mathover,24759,150388,networkit,rerun,0,0.301885,5784,,,0.0776
sx-mathover,24759,150388,networkit,rerun,1,0.296948,4716,,,0.0684
sx-mathover,24759,150388,networkit,rerun,2,0.305095,3515,,,0.0927
sx-mathover,24759,150388,networkit,rerun,3,0.304176,2343,,,0.1227
sx-mathover,24759,150388,networkit,rerun,4,0.311893,1233,,,0.0947
sx-mathover,24759,150388,networkit,rerun,5,0.301379,77,,,0.1135
sx-mathover,24759,150388,cugraph,rerun,0,0.297231,94,,,0.3728
sx-mathover,24759,150388,cugraph,rerun,1,0.310953,63,,,0.2706
sx-mathover,24759,150388,cugraph,rerun,2,0.314642,50,,,0.2438
sx-mathover,24759,150388,cugraph,rerun,3,0.31121,53,,,0.2112
sx-mathover,24759,150388,cugraph,rerun,4,0.309626,64,,,0.2501
sx-mathover,24759,150388,cugraph,rerun,5,0.301103,75,,,0.2777
sx-superuser,192409,571656,df,Static,0,0.402058,46458,3,,0.757
sx-superuser,192409,571656,df,ND,1,0.418642,37449,,,0.196
sx-superuser,192409,571656,df,DF,1,0.40491,37442,,19332,0.063
sx-superuser,192409,571656,df,DS,1,0.41865,37449,,153573,0.195
sx-superuser,192409,571656,df,ND,2,0.419146,28812,,,0.067
sx-superuser,192409,571656,df,DF,2,0.406262,28826,,18506,0.06
sx-superuser,192409,571656,df,DS,2,0.419171,28799,,162022,0.063
sx-superuser,192409,571656,df,ND,3,0.419018,19744,,,0.083
sx-superuser,192409,571656,df,DF,3,0.406915,19749,,18878,0.063
sx-superuser,192409,571656,df,DS,3,0.419055,19742,,171187,0.086
sx-superuser,192409,571656,df,ND,4,0.418688,10702,,,0.069
sx-superuser,192409,571656,df,DF,4,0.407342,10714,,19658,0.069
sx-superuser,192409,571656,df,DS,4,0.418739,10695,,180087,0.064
sx-superuser,192409,571656,df,ND,5,0.41826,1846,,,0.073
sx-superuser,192409,571656,df,DF,5,0.407469,1923,,19001,0.064
sx-superuser,192409,571656,df,DS,5,0.418268,1848,,188759,0.069
sx-superuser,192409,571656,networkx,rerun,0,0.411821,46488,,,38.8225
sx-superuser,192409,571656,networkx,rerun,1,0.410834,37363,,,46.0237
sx-superuser,192409,571656,networkx,rerun,2,0.414697,28782,,,43.7948
sx-superuser,192409,571656,networkx,rerun,3,0.417306,19710,,,46.1037
sx-superuser,192409,571656,networkx,rerun,4,0.416345,10661,,,41.0939
sx-superuser,192409,571656,networkx,rerun,5,0.417633,1833,,,48.5345
sx-superuser,192409,571656,networkit,rerun,0,0.408028,46469,,,0.4803
sx-superuser,192409,571656,networkit,rerun,1,0.4135,37483,,,0.6238
sx-superuser,192409,571656,networkit,rerun,2,0.411643,28849,,,0.4868
sx-superuser,192409,571656,networkit,rerun,3,0.415123,19763,,,0.5069
sx-superuser,192409,571656,networkit,rerun,4,0.416142,10738,,,0.5289
sx-superuser,192409,571656,networkit,rerun,5,0.417576,1898,,,0.5389
sx-superuser,192409,571656,cugraph,rerun,0,0.407287,1436,,,0.8223
sx-superuser,192409,571656,cugraph,rerun,1,0.410515,1532,,,0.6452
sx-superuser,192409,571656,cugraph,rerun,2,0.414947,1646,,,0.6676
sx-superuser,192409,571656,cugraph,rerun,3,0.417042,1624,,,0.7127
sx-superuser,192409,571656,cugraph,rerun,4,0.41266,3623,,,0.6857
sx-superuser,192409,571656,cugraph,rerun,5,0.420041,1838,,,0.7642
