graph,nodes,edges,method,variant,batch,modularity,communities,passes,affected,time_s
er_n100_p0.10_b5_bp0.001,100,474,df,DS,5,0.264514,8,,0,0.001
er_n100_p0.10_b5_bp0.001,100,474,networkx,rerun,0,0.272697,7,,,0.0067
er_n100_p0.10_b5_bp0.001,100,474,networkx,rerun,1,0.273799,7,,,0.0067
er_n100_p0.10_b5_bp0.001,100,474,networkx,rerun,2,0.268493,7,,,0.0062
er_n100_p0.10_b5_bp0.001,100,474,networkx,rerun,3,0.25865,7,,,0.0102
er_n100_p0.10_b5_bp0.001,100,474,networkx,rerun,4,0.263798,6,,,0.0059
er_n100_p0.10_b5_bp0.001,100,474,networkx,rerun,5,0.263201,7,,,0.0054
er_n3000_p0.01_b5_bp0.001,3000,44700,df,Static,0,0.124195,19,4,,0.096
er_n3000_p0.01_b5_bp0.001,3000,44700,df,ND,1,0.142317,18,,,0.01
er_n3000_p0.01_b5_bp0.001,3000,44700,df,DF,1,0.124666,19,,106,0.001
er_n3000_p0.01_b5_bp0.001,3000,44700,df,DS,1,0.142241,17,,3000,0.011
er_n3000_p0.01_b5_bp0.001,3000,44700,df,ND,2,0.145452,18,,,0.002
er_n3000_p0.01_b5_bp0.001,3000,44700,df,DF,2,0.125242,19,,101,0.001
er_n3000_p0.01_b5_bp0.001,3000,44700,df,DS,2,0.145962,17,,2948,0.003
er_n3000_p0.01_b5_bp0.001,3000,44700,df,ND,3,0.147035,18,,,0.002
er_n3000_p0.01_b5_bp0.001,3000,44700,df,DF,3,0.125717,19,,99,0.001
er_n3000_p0.01_b5_bp0.001,3000,44700,df,DS,3,0.148227,17,,3000,0.002
er_n3000_p0.01_b5_bp0.001,3000,44700,df,ND,4,0.148525,18,,,0.002
er_n3000_p0.01_b5_bp0.001,3000,44700,df,DF,4,0.126263,19,,94,0.001
er_n3000_p0.01_b5_bp0.001,3000,44700,df,DS,4,0.149362,17,,3000,0.006
er_n3000_p0.01_b5_bp0.001,3000,44700,df,ND,5,0.149298,18,,,0.002
er_n3000_p0.01_b5_bp0.001,3000,44700,df,DF,5,0.126424,19,,89,0.001
er_n3000_p0.01_b5_bp0.001,3000,44700,df,DS,5,0.150119,17,,3000,0.002
er_n3000_p0.01_b5_bp0.001,3000,44700,networkx,rerun,0,0.162802,11,,,0.98
er_n3000_p0.01_b5_bp0.001,3000,44700,networkx,rerun,1,0.162441,10,,,0.689
er_n3000_p0.01_b5_bp0.001,3000,44700,networkx,rerun,2,0.163902,10,,,1.073
er_n3000_p0.01_b5_bp0.001,3000,44700,networkx,rerun,3,0.164235,10,,,1.059
er_n3000_p0.01_b5_bp0.001,3000,44700,networkx,rerun,4,0.164473,9,,,0.8323
er_n3000_p0.01_b5_bp0.001,3000,44700,networkx,rerun,5,0.166603,8,,,0.9349
